,AWSSentiment,AWSMixed,AWSNegative,AWSNeutral,AWSPositive,GCPmagnitude,GCPscore,IBMlabel,IBMscore,id,Azurescore,realSentiment,Text
23,NEGATIVE,0.08488820493221283,0.746124804019928,0.14286500215530396,0.02612197771668434,1.100000023841858,0.0,positive,0.42669,23,0.9185148477554321,positive,"But again, the cash requirements really come from the stat and not the GAAP test and that will still has a few more weeks to run. But in the absence of no new news again with a lot of fresh eyes and it's not my fresh eyes we've got a new GC, we've got a new controller new to GE in their first years. I think that is a positive sign that we aren't adding to the list. We're going to be as open and transparent as we possibly can, when we find things. And we're going to help you understand what we're doing to address them but I'm encouraged by what I see and what has not arisen here in nearly four months time."
24,POSITIVE,0.08990568667650223,0.04347095638513565,0.374222993850708,0.49240028858184814,0.30000001192092896,0.0,positive,0.547362,24,0.5,neutral,"And Larry, you're pretty clear about having no plans to sell GECAS. It sounds quite definitive but obviously there's a lot of noise out there. So maybe I could step back and ask you how you weigh the urgency to get GE Capital debt down versus keeping the strong earnings stream in tact from GECAS that you have in the business?"
25,POSITIVE,0.06006167456507683,0.017828188836574554,0.13646173477172852,0.7856483459472656,3.299999952316284,0.30000001192092896,positive,0.633225,25,0.7719853520393372,positive,"Well, I think that we're -- we're frankly keen not to comment on every rumor on every innuendo that's out there. GECAS is one business that we get inbounds on with some frequency. But frankly. We get inbounds on everything but my desk. I think it speaks to the quality of the assets. Again, I think we can delever and bring that net debt down from $55 billion to something closer to $25 billion. We've got a number of options. We are mindful of the trades when we move assets out and the impact on our earnings and cash capability. But again, you elevate to the strategic level, I think we are clear. We need to delever and we're going to work the plan that we've outlined here today and that's really is I think as simple and as straightforward as it gets."
26,NEUTRAL,0.0033239000476896763,0.03536754474043846,0.9485219717025757,0.012786620296537876,0.0,0.0,positive,0.47644,26,0.5,neutral,"From Bank of America Merrill Lynch, we have Andrew Obin. Please go ahead."
27,NEUTRAL,0.048236750066280365,0.02376674674451351,0.6350365281105042,0.2929600179195404,1.899999976158142,0.20000000298023224,positive,0.812505,27,0.9612302780151367,neutral,"Hi, good morning. Just a question. You mentioned that you took $400 million of contract asset writedown in Power. And my understanding is that sort of culturally is a big deal. Shall we see more of these writedowns? How far along are we in the process of evaluating the book there?"
28,NEUTRAL,0.06616789102554321,0.20315152406692505,0.601789653301239,0.12889093160629272,0.8999999761581421,0.0,positive,0.532175,28,0.9191803932189941,neutral,"We asked our new controller, when he started to take a clean look at everything across the company. And they -- as they went through their normal standards CSA reviewed this quarter did pay particular attention to higher risk contracts, just to make sure that we were thinking about them cleanly and the right way. What we talked about on the call, which was really comprised of three different buckets were the results of that review."
29,NEUTRAL,0.014681697823107243,0.010339579544961452,0.6625435948371887,0.31243517994880676,1.600000023841858,0.30000001192092896,positive,0.880678,29,0.882237434387207,neutral,"So as we mentioned before, we had adjustments for utilization, some on pricing pressure and then just our standard cost updates. On the utilization side, when you look at the CSA book, utilization has been relatively flat and it's demonstrating actually a fairly healthy profile. And I think it just continues to support the base that gas continues to be an important source of energy generation. Now some geographies are impacted more by some of the renewables adoptions. And as you look at our book, our concentration of geographies isn't largely in those areas but we did see some true-ups that we took in places like California and Turkey just to make sure we were reflecting our best view on that."
30,NEUTRAL,0.00527979526668787,0.010450944304466248,0.9641810059547424,0.02008827216923237,0.30000001192092896,0.10000000149011612,positive,0.362803,30,0.2557857632637024,neutral,"Today, we have announced that we've reached an agreement in principle with the United States Department of Justice to settle the FIRREA investigation of WMC. GE will pay the United States a civil penalty of $1.5 billion consistent with our reserve recorded for this matter in the first quarter of last year. We've taken the following actions to strengthen our businesses."
31,NEUTRAL,0.02126365527510643,0.03452177718281746,0.8678579330444336,0.07635659724473953,1.399999976158142,0.10000000149011612,positive,0.914436,31,0.5,neutral,"On the pricing pressure, we are seeing that in some contracts. These are high margin long term contracts. And when we do go through renegotiation process on some of these, we are often able to offset that pricing with scope expansion and cost productivity. Having said that we wanted to make sure we had a realistic view of how we saw the portfolio, when we went through these reviews. We always do standard cost updating in our portfolio, that's just like you do in manufacturing. Those standard cost roll through this quarter as well. And part of that also reflected a small impact from the stage one blade issue but that's something that we had expected would happen, there as well."
32,NEUTRAL,0.0017115536611527205,0.0013021345948800445,0.9631691575050354,0.033817123621702194,0.20000000298023224,0.0,positive,0.879703,32,0.9131655693054199,neutral,"Got you. And just on GE Capital. How much incremental capital? You said $4 billion in '19 but how much incremental, do you need to put in 2020 to achieve your leverage targets? Thank you."
33,NEUTRAL,0.018971499055624008,0.04058491438627243,0.9110775589942932,0.029366066679358482,0.699999988079071,0.0,positive,0.670551,33,0.5,neutral,"Yeah. So Andrew at this point, we're talking about 2019, which is the $4 billion. And as we said as we get beyond 2019, we obviously understand. We will continue to put capital or expect to continue to put capital into the insurance subsidiaries. That will be funded through a combination of GE Capital earnings asset sales liquidity and GE parents support but at this point, we're not prepared to talk more fully about that."
34,NEUTRAL,0.0030840944964438677,0.024072153493762016,0.9542948007583618,0.01854901760816574,0.0,0.0,positive,0.47644,34,0.5,neutral,"From Deutsche Bank, we have Nicole DeBlase. Please go ahead."
35,NEUTRAL,0.03618118166923523,0.05584615468978882,0.8353092074394226,0.07266345620155334,2.0999999046325684,0.10000000149011612,positive,0.462471,35,0.7392577528953552,neutral,"So, good morning. So I just want to start on Power kind of a two part question. You reduced headcount by 15%, you reduced footprint by 30%. I know that pricing is an important part of the equation of getting back to profitability here but I guess maybe what inning are you in with respect to what you need to do to get to the right level of capacity utilization? And then same topic different question. What exactly are you doing to improve Power execution since that keeps coming up as a driver of weaker profitability and when might we stop talking about that piece of the margin headwinds?"
36,NEUTRAL,0.14262078702449799,0.10848549008369446,0.39625364542007446,0.3526400923728943,4.099999904632568,0.10000000149011612,positive,0.461543,36,0.5,positive,"Well, Nicole I would say, we are in the very early innings relative to the turnaround at Power. I don't know, how else to frame it. Again, a new team, a new structure, new operating rhythms. When we talk about execution, we talk about daily management. What I'm really referring to is making sure that every day the folks in the field, the folks in the factories, the folks in the labs understand what the key operating metrics are that they are responsible for that feed into better margins both at the growth in the operating level in this business. So that takes time because it's not just a reporting exercise, right? It's a management exercise and making sure they not understand not only how they're being measured but how to go about actually getting better price, how to go about actually driving better material productivity. Execution in the field as well. Not only around cost but frankly more importantly around quality making sure we get into outages quickly and we solve issues for customers the first time and when we're not going back. Those are the source of things. And it is a big organization. It's a global organization. This is going to take a little while. But I'm optimistic that we'll see it in our operating metrics over time and that will in turn translate into better performance. We'll clearly get some lift sooner from the absence of the adjustments that we made at the end of the year but what I'm really focused on and what I think investors are to be focused on, are those underlying operating improvements."
37,POSITIVE,0.12261823564767838,0.05463607609272003,0.4058046042919159,0.4169410467147827,2.5,0.30000001192092896,positive,0.78072,37,0.9678875207901001,positive,"Okay, got it. That's helpful. Thanks, Larry. And just a really quick one to tie up. Good progress on corporate expense reduction this quarter. Would you say that the corporate expense that we saw in 4Q is indicative of the run rate for 2019? Or are there items there that we need to consider?"
38,NEUTRAL,0.032236065715551376,0.021966401487588882,0.9144564270973206,0.03134109452366829,0.10000000149011612,0.0,negative,-0.546757,38,0.5,neutral,I'd say it's roughly indicative. I think it'll be down slightly from that. It was a little bit higher in the quarter due to some onetime expenses we had but it's close. Little bit down from that in 2019.
39,NEUTRAL,0.0038051847368478775,0.018751678988337517,0.9408048391342163,0.036638293415308,0.0,0.0,positive,0.47644,39,0.5,neutral,"From RBC Capital Markets, we have Deane Dray. Please go ahead."
40,NEUTRAL,0.011505101807415485,0.10930080711841583,0.8352286219596863,0.04396544024348259,1.0,0.20000000298023224,positive,0.528196,40,0.5,positive,"In 2018, our corporate headquarters cost was $1.2 billion down $400 million from $1.6 billion in 2017. We have begun transferring a significant portion of headcount and activities that were previously managed at corporate to the segments or to third parties with over 6,500 full-time employees transferred to-date. We're confident that as we move more activity and headcount closer to those that are directly accountable, we will see additional savings."
41,POSITIVE,0.016650980338454247,0.016919037327170372,0.33606284856796265,0.6303671598434448,0.8999999761581421,0.8999999761581421,positive,0.912727,41,0.9777933359146118,positive,I'd also like to add our welcome to Steve Winoker and wish him all the best.
42,NEGATIVE,0.06069401651620865,0.5345658659934998,0.3720122277736664,0.0327279269695282,0.699999988079071,0.0,positive,0.412973,42,0.5,neutral,"Looks like I have to burn one of my questions, what's more of a housekeeping question Larry is in the third quarter earnings you talked about plans for an Analyst meeting in early 2019. Looks like, there's still a lot of more specifics that have to get filled in in terms of guidance and especially on the cash flow side. Maybe you're not ready yet to host that meeting. But just where does that stand and what would the timing be?"
43,NEUTRAL,0.012264018878340721,0.011642836034297943,0.9460852742195129,0.0300078596919775,1.0,-0.10000000149011612,positive,0.361013,43,0.5,neutral,"Well, Dean again, I think we're sharing today what we can in terms of not only the fourth quarter but the actions that are under way and how we see 2019 shaping up. We know we're not answering every question that folks might have on their minds today. But we're not going to answer any question without a grounding and a level of conviction that we expect of ourselves and I think folks like yourselves and investors expect of us as well but we are indicating that we'll be back soon with more particularly as we work through some of the issues, we've talked about not only in our prepared remarks but also here in Q&A with respect to Power."
44,NEUTRAL,0.1641913801431656,0.08940688520669937,0.46340078115463257,0.2830009460449219,2.4000000953674316,0.10000000149011612,positive,0.735709,44,0.9062728881835938,neutral,"Okay. And Larry, I appreciate how you started off the call with all the changes in terms of the management approach and the accountability and voice of the customer. I mean that's --that was all good color to hear upfront. And then my second question is on the insurance side. We've got good news, what I see is good news on the loss recognition certainly not a new surprise. How does that change? In the third quarter, there was lots of calls for how to ring fence the long term insurance risk and where that might be. Where does that stand today in terms of priorities?"
45,NEUTRAL,0.1325606405735016,0.17157018184661865,0.5780612230300903,0.11780798435211182,2.299999952316284,0.20000000298023224,positive,0.59408,45,0.9279659986495972,positive,"Well, Dean, again I want to make sure everybody understands that the LRT results here are a positive data point. I think that the stat test is going to be more important and I think we don't expect any major surprises but we'll have those results to share with you in a few weeks. This is a long term liability right? And we have our commitments with respect to the permitted practice. We're in a position to fulfill those. We certainly get inbounds here as well from folks, who'd like to take this book off of our hands. But not necessarily in a structure and at a value that would make sense for the GE shareholder. So I suspect that as we enhance our disclosures, they'll be better understanding of what this is."
46,NEUTRAL,0.039506424218416214,0.028833044692873955,0.7927959561347961,0.13886457681655884,2.200000047683716,0.20000000298023224,positive,0.572721,46,0.9139379262924194,positive,"Certainly I suspect there will still be some debate. But I'm optimistic that the transparency will lead to better understanding and we can talk about this in a fact-based way. People can understand what that means. Is it with us forever? Or is there a way to ring fence it is to use your word again, I'm not going to rule anything out. But I think right now, what we're trying to do is to make sure that everyone understands, what it is and what our obligations are around the insurance book. So hopefully, some helpful disclosures in that regard today with more to come in the K once we're on the other side of the stat test."
47,NEUTRAL,0.0014032054459676147,0.00756889209151268,0.9701199531555176,0.02090795524418354,0.0,0.0,positive,0.47644,47,0.5,neutral,"And from Gordon Haskett, we have John Inch. Please go ahead."
48,POSITIVE,0.0011447397992014885,3.334263965371065e-05,0.30704835057258606,0.6917735934257507,1.5,0.30000001192092896,positive,0.772275,48,0.5,positive,"Good examples include the recently announced agreement with Genpact around our global operations activities and the delayering and reorganization of our Global Growth Organization. Our changes in Power followed a similar approach. We have $1.6 billion of cost at Power headquarters and expect to produce that amount by $300 million for headquarter's overhead functions. And as we distribute the remaining cost to the business units, we expect that they will find additional savings over time."
49,NEUTRAL,0.025867341086268425,0.006524696480482817,0.8077405095100403,0.15986749529838562,0.699999988079071,0.0,positive,0.375687,49,0.7566423416137695,neutral,"Good morning, Steve. Just on the capital guide. I may have missed this Jamie and Larry but what is capital guide for 2019? What are you expecting? And what kind of, are we expecting from say gains from the $10 billion of asset sales? So it's almost like, what's the guide ex the $10 billion on earnings? And also Jamie, what was Healthcare's free cash flow in 2018?"
50,NEUTRAL,0.04362642019987106,0.04807749390602112,0.6683695912361145,0.23992644250392914,2.0999999046325684,0.4000000059604645,positive,0.425831,50,0.9573606848716736,neutral,"Well, with respect to GE Capital's 2019 as Larry mentioned, we're not offering 2019 guidance today. So that's something that we will be sharing with you in the near term but not today. And with respect to Healthcare's free cash flow, I think it's well understood that that is a strong cash flow business. It's a flow business unlike some of our long cycle and I think there's been a lot of valuation maps that's been out there. So while we're not disclosing Healthcare's free cash flow, I think you can probably come to a pretty reasonable conclusion there about what that is."
51,NEUTRAL,0.039132896810770035,0.09025753289461136,0.7147369384765625,0.155872642993927,1.7000000476837158,-0.20000000298023224,negative,-0.294757,51,0.7842810750007629,negative,"Okay. I think we were targeting break even in capital this year and we ended up losing money. I'm just wondering, what is -- what actually changed in the mix from Jamie, when you originally thought would be break even to the loss? And also in your cash walk on the fourth quarter cash walk, the Baker Hughes free cash flow is a positive $800 million. It looks like Baker actually generated positive free cash flow in the fourth quarter. So why would that be a positive? Why isn't that a negative drawing it out, it's just a technical question, I guess."
52,NEUTRAL,0.04393450543284416,0.1746494472026825,0.6902552247047424,0.09116079658269882,0.30000001192092896,0.0,positive,0.594761,52,0.5,neutral,"Well, first on GE Capital. We had the LRT results in the fourth quarter so that was $65 million. We actually had tax benefits of less than we expected as well. That impacted us by about $240 million. And then we had some other marks in the portfolio in the second half. So that was really the large difference between what we had expected and where we ended up. And then with respect to Baker Hughes. We are backing out free cash flow. So that might be a labeling issue on the slide there. It's less Baker Hughes free cash flow. If you back it out and you have the dividend."
53,NEUTRAL,0.0016902894712984562,0.015790602192282677,0.9677765965461731,0.014742594212293625,0.0,0.0,positive,0.47644,53,0.5,neutral,"And from Goldman Sachs, we have Joe Ritchie. Please go ahead."
54,NEUTRAL,0.004981724079698324,0.008717181161046028,0.927240252494812,0.05906079337000847,1.2000000476837158,0.10000000149011612,positive,0.811196,54,0.5,positive,"We announced this week that we will be delayering the headquarter levels at Renewable Energy. And yesterday announced that we are bringing GE's grid, solar and storage assets into that business creating an end-to-end offering from renewables customers as the demand for renewable power generation and grid integration continues to grow globally. We're strengthening our senior team. We've brought in fresh eyes that are already having an impact."
55,NEUTRAL,0.3029992878437042,0.04310678690671921,0.3613812029361725,0.29251277446746826,2.200000047683716,0.5,positive,0.371062,55,0.8938033580780029,neutral,"Good morning, guys. And so just I know, you're a little reluctant to answer much on the 2019 guide. But I could just may be ask on just Power free cash flow, the $2.7 billion burn this year. Do you expect '19 to be better than 2018 from a Power free cash flow perspective?"
56,NEUTRAL,0.10435844212770462,0.22078564763069153,0.4942045211791992,0.18065141141414642,3.0999999046325684,0.6000000238418579,positive,0.68862,56,0.8666080236434937,neutral,"I think we're at a place, where we're sharing with you today everything that we know, everything we can commit to. And again, we'll be back with more detail particularly with respect to Power and cash soon. But we're just, we're not in a position where we're able to do that. But clearly, again, hopefully the color around the $2.7 billion that we burned last year is helpful. With respect to framing the magnitude of the task and the challenge, when we understand and are serious about addressing."
57,MIXED,0.48298609256744385,0.16330642998218536,0.21033328771591187,0.14337417483329773,2.799999952316284,0.20000000298023224,positive,0.341903,57,0.9308995008468628,neutral,"Getting the disclosure on the $2.7 billion definitely helpful and will hopefully get some more color on the path in the near term. But I guess, if I can maybe focus then on just the onetime issues that occurred in the second half of 2018. Specifically, around the blade issue. Is it fair to say that those issues are at least behind you? And how should we think about what the call it roughly, it sounds like it was like roughly $700 million or so in quantifiable charges there. What does that relate to? Does that relate to all orders that you received so far in each turbine. Just any color on that would be helpful?"
58,NEGATIVE,0.2694765329360962,0.38040921092033386,0.206743061542511,0.14337116479873657,2.5999999046325684,0.0,positive,0.35059,58,0.13959327340126038,neutral,"Yes. Well the -- when we talk about the cost for the blade issue, it's really a function of going out and effectively replacing these blades sooner than we were anticipating, right? Because the useful life is effectively shorter than we had anticipated unfortunately. But we think we understand that. That work is under way with respect to the installed base. And again, I think it's regrettable. I think our customers when you talk to them understand, what's happened how we're going about remediating the issue in the field and I'd like to think that that is not something, we're going to continue to site with respect to the margin pressure in the business here in '19."
59,NEGATIVE,0.022299252450466156,0.7903250455856323,0.1767183095216751,0.010657393373548985,0.4000000059604645,0.0,positive,0.56778,59,0.8346664905548096,neutral,"Yeah. And just walking back from third quarter and maybe updating today. So third quarter, we had $240 million of warranty and other accruals related to the stage one blade. We also mentioned that that we expected to experience a similar amount of that over time as the worked outperformed in our services book. So part of what I mentioned earlier on those charges includes that stage one blade issue started to come through the services updates."
60,NEUTRAL,0.00563005730509758,0.026445182040333748,0.9436776041984558,0.02424720488488674,0.20000000298023224,0.20000000298023224,neutral,0.0,60,0.7950330376625061,neutral,But there are host of elements of that
61,NEUTRAL,0.028489507734775543,0.4222123920917511,0.4735278785228729,0.07577018439769745,0.0,0.0,neutral,0.0,61,0.8402673006057739,neutral,That update not just the very.
62,NEUTRAL,0.000259587774053216,2.59580701822415e-05,0.8920489549636841,0.10766550898551941,2.299999952316284,0.699999988079071,positive,0.954646,62,0.5,positive,"We're combining new perspectives from strong external talent, proven GE leaders with domain expertise and entrepreneurial spirit, next-gen thinkers as well as leaders with deep customer relationships. From a governance perspective, Paula Reynolds joined our Board of Directors bringing extensive experience in both the Energy and Insurance industries. The majority of our Directors now are new since 2017 and I'm finding the Board deeply engaged in all matters of our business"
63,NEUTRAL,0.002369215013459325,0.01857100985944271,0.9676493406295776,0.01141045056283474,0.10000000149011612,0.0,positive,0.498792,63,0.5,neutral,"And our final question from Cowen and Company, we have Gautam Khanna. Please go ahead."
